Order_ID,Order_Date,Region,Product,Category,Quantity,Unit_Price,Revenue
58,2023-07-20,South,Sofa,Furniture,3,46159,138477
59,2023-07-06,West,Chair,Furniture,1,45382,45382
60,2023-01-22,West,Jeans,Clothing,5,32565,162825
61,2023-05-18,South,Headphones,Electronics,2,14052,28104
62,2023-08-23,North,Sofa,Furniture,9,45777,411993
63,2023-06-09,West,Table,Furniture,3,19553,58659
64,2023-06-26,East,Headphones,Electronics,4,20883,83532
65,2023-05-20,East,Mobile,Electronics,4,36180,144720
66,2023-03-03,East,Jacket,Clothing,7,22000,154000
67,2023-12-09,South,Laptop,Electronics,1,18199,18199
68,2023-06-03,West,Jeans,Clothing,5,26588,132940
69,2023-11-16,South,Mobile,Electronics,6,43995,263970
70,2023-03-27,North,Headphones,Electronics,10,6113,61130
71,2023-09-26,West,T-Shirt,Clothing,8,35850,286800
72,2023-04-11,East,T-Shirt,Clothing,8,27516,220128
73,2023-08-23,East,Laptop,Electronics,9,33620,302580
74,2023-05-04,South,Headphones,Electronics,6,40491,242946
75,2023-08-20,North,Chair,Furniture,9,19774,177966
76,2023-01-05,East,Jacket,Clothing,9,13109,117981
77,2023-01-08,North,Headphones,Electronics,5,34704,173520
78,2023-12-19,South,Laptop,Electronics,6,3747,22482
79,2023-07-30,West,Jacket,Clothing,5,11002,55010
80,2023-10-09,East,Chair,Furniture,8,49578,396624
81,2023-03-08,East,Jeans,Clothing,1,19737,19737
82,2023-04-15,North,Headphones,Electronics,7,45648,319536
83,2023-01-31,South,Headphones,Electronics,7,2159,15113
84,2023-05-24,South,Jeans,Clothing,10,18774,187740
85,2023-01-16,South,Headphones,Electronics,5,24151,120755
86,2023-09-01,South,Chair,Furniture,3,46558,139674
87,2023-02-10,North,Sofa,Furniture,3,7285,21855
88,2023-03-31,West,Sofa,Furniture,5,44943,224715
89,2023-10-28,West,Jacket,Clothing,5,43667,218335
90,2023-09-27,West,Jacket,Clothing,5,23695,118475
91,2023-03-27,West,Jeans,Clothing,10,38105,381050
92,2023-07-21,South,Headphones,Electronics,5,27208,136040
93,2023-07-14,South,Jacket,Clothing,6,27869,167214
94,2023-07-22,West,Jacket,Clothing,9,18716,168444
95,2023-05-14,East,Mobile,Electronics,3,17620,52860
96,2023-02-26,North,Table,Furniture,5,1142,5710
97,2023-10-23,North,Jacket,Clothing,10,4091,40910
98,2023-08-15,East,Laptop,Electronics,6,25029,150174
99,2023-05-31,South,Jacket,Clothing,7,10362,72534
100,2023-03-19,North,Jacket,Clothing,1,26852,26852
101,2023-09-01,North,Jeans,Clothing,7,43405,303835
102,2023-05-05,East,Table,Furniture,4,31021,124084
103,2023-01-21,North,Laptop,Electronics,3,28225,84675
104,2023-06-20,South,Sofa,Furniture,5,26935,134675
105,2023-10-22,East,Chair,Furniture,6,49594,297564
106,2023-01-23,West,Chair,Furniture,9,13448,121032
107,2023-03-16,East,Headphones,Electronics,1,25812,25812
108,2023-09-08,East,Headphones,Electronics,6,14535,87210
109,2023-02-11,South,Jacket,Clothing,10,36536,365360
110,2023-05-15,North,Mobile,Electronics,7,33306,233142
111,2023-05-30,West,Jeans,Clothing,2,25711,51422
112,2023-01-03,North,Headphones,Electronics,5,24262,121310
113,2023-03-05,East,Jacket,Clothing,8,14212,113696
114,2023-01-24,South,Chair,Furniture,6,34109,204654
115,2023-05-01,South,T-Shirt,Clothing,7,2126,14882
116,2023-10-25,West,Table,Furniture,4,45983,183932
117,2023-05-11,South,T-Shirt,Clothing,8,39604,316832
118,2023-03-31,South,Table,Furniture,4,17522,70088
119,2023-09-06,West,Jacket,Clothing,8,43100,344800
120,2023-11-26,South,Table,Furniture,4,2915,11660
121,2023-09-30,South,Jacket,Clothing,1,37768,37768
122,2023-07-30,South,Chair,Furniture,8,45139,361112
123,2023-09-20,East,Mobile,Electronics,8,5035,40280
124,2023-07-11,West,Jeans,Clothing,2,15925,31850
125,2023-02-06,East,Sofa,Furniture,5,36957,184785
126,2023-04-28,West,Jacket,Clothing,4,43401,173604
127,2023-10-31,North,Jacket,Clothing,3,35281,105843
128,2023-03-12,West,T-Shirt,Clothing,10,18139,181390
129,2023-05-13,North,Mobile,Electronics,1,36978,36978
130,2023-11-27,North,Laptop,Electronics,2,4263,8526
131,2023-12-24,East,Sofa,Furniture,7,1088,7616
132,2023-05-07,East,Sofa,Furniture,8,21215,169720
133,2023-05-14,West,T-Shirt,Clothing,6,32104,192624
134,2023-01-10,West,Table,Furniture,6,48524,291144
135,2023-03-31,West,Mobile,Electronics,7,22468,157276
136,2023-02-03,North,Jeans,Clothing,10,28090,280900
137,2023-02-01,East,T-Shirt,Clothing,7,17014,119098
138,2023-02-16,West,Headphones,Electronics,1,6325,6325
139,2023-09-21,East,Mobile,Electronics,3,44173,132519
140,2023-12-30,East,Jacket,Clothing,5,16929,84645
141,2023-04-01,South,Mobile,Electronics,1,3500,3500
142,2023-09-13,East,Sofa,Furniture,1,26625,26625
143,2023-01-16,South,Chair,Furniture,6,26774,160644
144,2023-04-10,North,Headphones,Electronics,5,35554,177770
145,2023-03-20,North,Mobile,Electronics,9,11959,107631
146,2023-03-29,North,Jacket,Clothing,4,22984,91936
147,2023-05-08,North,Sofa,Furniture,6,10020,60120
148,2023-03-07,East,T-Shirt,Clothing,10,21243,212430
149,2023-12-22,East,Sofa,Furniture,10,13250,132500
150,2023-05-15,South,Table,Furniture,2,4696,9392
151,2023-03-24,East,Headphones,Electronics,8,10600,84800
152,2023-07-05,North,Laptop,Electronics,2,47773,95546
153,2023-12-21,North,Mobile,Electronics,5,42787,213935
154,2023-07-05,West,Table,Furniture,2,30226,60452
155,2023-11-14,North,Sofa,Furniture,9,25016,225144
156,2023-05-13,West,T-Shirt,Clothing,7,5180,36260
157,2023-06-24,North,Table,Furniture,9,6001,54009
158,2023-12-11,East,Table,Furniture,2,39152,78304
159,2023-08-02,West,T-Shirt,Clothing,3,26672,80016
160,2023-12-28,North,Laptop,Electronics,1,4904,4904
161,2023-10-09,East,Mobile,Electronics,7,1805,12635
162,2023-12-15,North,Sofa,Furniture,6,40760,244560
163,2023-10-06,West,Mobile,Electronics,1,11499,11499
164,2023-03-07,East,Jeans,Clothing,8,9819,78552
165,2023-08-06,East,Jacket,Clothing,3,33372,100116
166,2023-01-16,West,Headphones,Electronics,3,21080,63240
167,2023-11-19,East,Jeans,Clothing,7,18321,128247
168,2023-01-19,North,Laptop,Electronics,8,22111,176888
169,2023-05-06,East,Jacket,Clothing,8,2860,22880
170,2023-03-28,North,Laptop,Electronics,8,40463,323704
171,2023-12-03,North,Jacket,Clothing,9,31831,286479
172,2023-03-11,South,Chair,Furniture,7,5378,37646
173,2023-06-11,West,Laptop,Electronics,5,13278,66390
174,2023-12-04,East,T-Shirt,Clothing,8,20753,166024
175,2023-01-02,West,Sofa,Furniture,1,8815,8815
176,2023-10-28,South,Table,Furniture,8,41932,335456
177,2023-12-18,East,Mobile,Electronics,1,34932,34932
178,2023-07-04,South,Chair,Furniture,1,42511,42511
179,2023-12-09,West,T-Shirt,Clothing,9,32802,295218
180,2023-06-21,West,Jeans,Clothing,9,24769,222921
181,2023-04-17,South,Sofa,Furniture,9,5166,46494
182,2023-07-12,South,T-Shirt,Clothing,5,27853,139265
183,2023-04-20,West,Laptop,Electronics,7,28596,200172
184,2023-11-21,South,Table,Furniture,5,2611,13055
185,2023-07-21,North,Sofa,Furniture,2,44431,88862
186,2023-06-15,East,Jacket,Clothing,5,1181,5905
187,2023-03-05,East,T-Shirt,Clothing,5,29840,149200
188,2023-06-22,West,Chair,Furniture,3,39872,119616
189,2023-03-14,South,Laptop,Electronics,9,10209,91881
190,2023-08-24,West,Table,Furniture,1,42651,42651
191,2023-09-16,West,Jacket,Clothing,4,43977,175908
192,2023-06-06,West,Jacket,Clothing,10,25287,252870
193,2023-09-05,West,Sofa,Furniture,2,15289,30578
194,2023-10-06,West,Jeans,Clothing,2,25230,50460
195,2023-03-08,North,Mobile,Electronics,8,19322,154576
196,2023-06-14,South,Table,Furniture,6,25357,152142
197,2023-08-21,West,T-Shirt,Clothing,8,42185,337480
198,2023-11-08,North,Headphones,Electronics,7,43204,302428
199,2023-01-27,West,Headphones,Electronics,5,48419,242095
200,2023-09-08,North,T-Shirt,Clothing,5,29276,146380
201,2023-08-09,South,Headphones,Electronics,1,49752,49752
202,2023-02-21,North,Laptop,Electronics,10,39258,392580
203,2023-04-07,North,Jeans,Clothing,3,16559,49677
204,2023-05-02,North,Jeans,Clothing,7,2471,17297
205,2023-08-29,East,T-Shirt,Clothing,9,19782,178038
206,2023-08-01,West,T-Shirt,Clothing,8,34333,274664
207,2023-12-15,East,Chair,Furniture,6,25371,152226
208,2023-08-13,North,Mobile,Electronics,2,3887,7774
209,2023-08-25,East,Headphones,Electronics,2,2695,5390
210,2023-05-09,West,Table,Furniture,7,14590,102130
211,2023-07-21,West,Mobile,Electronics,7,27352,191464
212,2023-08-13,East,T-Shirt,Clothing,1,13650,13650
213,2023-05-16,South,Table,Furniture,2,13342,26684
214,2023-04-13,South,Table,Furniture,2,14474,28948
215,2023-04-22,North,Headphones,Electronics,9,7181,64629
216,2023-08-15,South,Chair,Furniture,6,36200,217200
217,2023-08-28,North,Sofa,Furniture,3,23875,71625
218,2023-09-08,South,T-Shirt,Clothing,2,27009,54018
219,2023-07-11,South,Headphones,Electronics,2,36183,72366
220,2023-06-10,West,Table,Furniture,6,14167,85002
221,2023-12-13,North,Mobile,Electronics,1,46096,46096
222,2023-05-03,North,Sofa,Furniture,7,38951,272657
223,2023-12-21,East,Laptop,Electronics,5,21358,106790
224,2023-04-30,North,Mobile,Electronics,1,27901,27901
225,2023-01-11,East,Table,Furniture,6,26469,158814
226,2023-05-20,North,Headphones,Electronics,10,18404,184040
227,2023-03-20,South,Chair,Furniture,3,16674,50022
228,2023-08-30,South,Chair,Furniture,3,3006,9018
229,2023-09-22,West,Jeans,Clothing,10,28050,280500
230,2023-09-28,South,Table,Furniture,3,29734,89202
231,2023-01-20,West,Mobile,Electronics,8,24676,197408
232,2023-01-30,East,T-Shirt,Clothing,9,42551,382959
233,2023-11-06,South,Table,Furniture,6,45421,272526
234,2023-09-16,East,Sofa,Furniture,8,7833,62664
235,2023-07-06,West,Mobile,Electronics,5,35397,176985
236,2023-01-13,West,Jeans,Clothing,7,29844,208908
237,2023-01-21,North,Headphones,Electronics,2,44886,89772
238,2023-10-27,East,Table,Furniture,4,45857,183428
239,2023-05-14,North,Mobile,Electronics,1,14385,14385
240,2023-07-12,West,Laptop,Electronics,1,34863,34863
241,2023-10-28,South,Headphones,Electronics,1,35657,35657
242,2023-07-14,West,Laptop,Electronics,2,14780,29560
243,2023-05-29,West,Table,Furniture,4,23464,93856
244,2023-03-22,East,Mobile,Electronics,7,28150,197050
245,2023-02-14,North,Mobile,Electronics,7,22053,154371
246,2023-12-01,East,T-Shirt,Clothing,1,9160,9160
247,2023-06-18,East,Sofa,Furniture,6,46416,278496
248,2023-08-09,West,Chair,Furniture,4,30189,120756
249,2023-04-16,South,Jeans,Clothing,10,29078,290780
250,2023-08-13,West,Table,Furniture,6,10988,65928
251,2023-09-14,South,Laptop,Electronics,8,11197,89576
252,2023-02-26,West,Jacket,Clothing,4,21051,84204
253,2023-01-16,North,Headphones,Electronics,10,30776,307760
254,2023-08-10,South,Laptop,Electronics,4,23785,95140
255,2023-11-28,West,Chair,Furniture,7,41340,289380
256,2023-03-21,South,Sofa,Furniture,9,15413,138717
257,2023-09-02,South,Table,Furniture,2,3485,6970
258,2023-06-28,West,Chair,Furniture,6,43981,263886
259,2023-06-14,West,T-Shirt,Clothing,9,13537,121833
260,2023-02-26,West,Jacket,Clothing,6,45511,273066
261,2023-06-24,East,Sofa,Furniture,4,42284,169136
262,2023-11-10,South,Chair,Furniture,2,11762,23524
263,2023-06-07,South,Sofa,Furniture,4,42492,169968
264,2023-10-02,North,Mobile,Electronics,10,10391,103910
265,2023-11-14,East,Mobile,Electronics,7,6562,45934
266,2023-06-18,North,Sofa,Furniture,8,8228,65824
267,2023-05-20,North,Mobile,Electronics,6,37148,222888
268,2023-06-21,South,Table,Furniture,2,30704,61408
269,2023-11-14,South,Jeans,Clothing,1,13706,13706
270,2023-08-03,South,Headphones,Electronics,8,12084,96672
271,2023-07-26,West,Sofa,Furniture,3,7290,21870
272,2023-09-29,North,Mobile,Electronics,10,9337,93370
273,2023-03-03,North,Mobile,Electronics,5,34675,173375
274,2023-11-10,South,Jeans,Clothing,1,16887,16887
275,2023-12-19,South,Jacket,Clothing,2,38160,76320
276,2023-08-05,North,Chair,Furniture,6,25095,150570
277,2023-05-27,South,Chair,Furniture,6,7262,43572
278,2023-12-22,West,T-Shirt,Clothing,7,38346,268422
279,2023-04-02,North,Table,Furniture,4,38254,153016
280,2023-01-21,East,Table,Furniture,6,1770,10620
281,2023-11-05,South,Jeans,Clothing,2,46188,92376
282,2023-09-20,South,Chair,Furniture,4,31989,127956
283,2023-03-19,West,Headphones,Electronics,4,34467,137868
284,2023-03-11,South,Laptop,Electronics,5,39832,199160
285,2023-06-10,South,Table,Furniture,4,2736,10944
286,2023-01-12,South,Table,Furniture,1,19671,19671
287,2023-02-25,East,Jacket,Clothing,7,22308,156156
288,2023-11-30,North,Sofa,Furniture,9,17368,156312
289,2023-08-30,West,Sofa,Furniture,5,20357,101785
290,2023-06-15,West,Jeans,Clothing,8,46951,375608
291,2023-08-27,South,T-Shirt,Clothing,10,9237,92370
292,2023-02-18,East,T-Shirt,Clothing,2,25919,51838
293,2023-03-18,North,Jacket,Clothing,9,20615,185535
294,2023-12-31,North,Table,Furniture,3,35792,107376
295,2023-07-07,West,Jacket,Clothing,1,6920,6920
296,2023-11-13,North,Headphones,Electronics,1,2615,2615
297,2023-02-26,North,Headphones,Electronics,10,3032,30320
298,2023-01-14,West,Headphones,Electronics,10,25749,257490
299,2023-10-22,South,Laptop,Electronics,7,43790,306530
300,2023-11-30,North,Jacket,Clothing,7,47414,331898
